time,open,high,low,close,volume
1779279740,1.27,1.27114,1.26957,1.27069,530.81
1779280640,1.27069,1.27183,1.26999,1.27176,1421.67
1779281540,1.27176,1.27189,1.27055,1.27113,552.17
1779282440,1.27113,1.27118,1.26981,1.26991,599.39
1779283340,1.26991,1.27002,1.26851,1.26965,1268.52
1779284240,1.26965,1.27097,1.26886,1.27057,1356.02
1779285140,1.27057,1.27079,1.2697,1.27037,632.31
1779286040,1.27037,1.27051,1.2683,1.2688,1504.9
1779286940,1.2688,1.26906,1.26777,1.26803,1376.02
1779287840,1.26803,1.26934,1.2678,1.26896,264.75
1779288740,1.26896,1.27042,1.26875,1.27028,1078.5
1779289640,1.27028,1.27204,1.26982,1.27132,1234.8
1779290540,1.27132,1.27336,1.27108,1.27335,977.36
1779291440,1.27335,1.27562,1.27294,1.27505,1406.37
1779292340,1.27505,1.27598,1.27422,1.27453,768.58
1779293240,1.27453,1.27631,1.27392,1.27521,1257.13
1779294140,1.27521,1.27575,1.27328,1.27348,1244.9
1779295040,1.27348,1.27484,1.27282,1.2742,902.59
1779295940,1.2742,1.2748,1.2732,1.27451,1604.67
1779296840,1.27451,1.2748,1.27392,1.27476,882.61
1779297740,1.27476,1.27715,1.27444,1.27627,888.34
1779298640,1.27627,1.27641,1.2762,1.27637,853.09
1779299540,1.27637,1.27641,1.27598,1.27627,1187.92
1779300440,1.27627,1.27658,1.27504,1.27508,1085.39
1779301340,1.27508,1.27573,1.27428,1.27491,1208.53
1779302240,1.27491,1.27541,1.27455,1.27478,809.87
1779303140,1.27478,1.27484,1.27324,1.27386,737.43
1779304040,1.27386,1.27432,1.27218,1.27276,955.61
1779304940,1.27276,1.27343,1.27157,1.27165,958.32
1779305840,1.27165,1.27265,1.27069,1.27097,864.99
1779306740,1.27097,1.27156,1.2708,1.27082,1345.86
1779307640,1.27082,1.27126,1.27023,1.27025,1163.44
1779308540,1.27025,1.27088,1.26901,1.26917,690.33
1779309440,1.26917,1.26981,1.26805,1.26927,1690.9
1779310340,1.26927,1.26929,1.26852,1.26895,1568.12
1779311240,1.26895,1.27096,1.26831,1.26994,748.17
1779312140,1.26994,1.26994,1.26776,1.2679,1211.81
1779313040,1.2679,1.26792,1.26722,1.26742,776.85
1779313940,1.26742,1.26891,1.26706,1.26831,1181.27
1779314840,1.26831,1.26843,1.26647,1.26702,1279.28
1779315740,1.26702,1.26773,1.26654,1.26674,1446.91
1779316640,1.26674,1.2669,1.26431,1.26443,1096.44
1779317540,1.26443,1.26642,1.26417,1.26586,1387.72
1779318440,1.26586,1.26595,1.26548,1.26561,906.26
1779319340,1.26561,1.26586,1.26508,1.2651,916.02
1779320240,1.2651,1.26739,1.26466,1.26695,525.18
1779321140,1.26695,1.2676,1.26659,1.26676,593.77
1779322040,1.26676,1.26714,1.26519,1.26562,641.28
1779322940,1.26562,1.26648,1.26533,1.26596,700.17
1779323840,1.26596,1.26623,1.26518,1.26612,756.94
1779324740,1.26612,1.26619,1.26533,1.2656,834.43
1779325640,1.2656,1.26566,1.26486,1.26487,955.47
1779326540,1.26487,1.26502,1.26468,1.26498,983.3
1779327440,1.26498,1.26528,1.26433,1.26468,680.38
1779328340,1.26468,1.26564,1.26434,1.26562,825.87
1779329240,1.26562,1.26731,1.26503,1.26719,1218.07
1779330140,1.26719,1.2684,1.26697,1.26711,1268.71
1779331040,1.26711,1.26743,1.26651,1.26656,1257.47
1779331940,1.26656,1.26686,1.26625,1.26661,1340.79
1779332840,1.26661,1.26756,1.26463,1.26503,802.01
1779333740,1.26503,1.26568,1.26423,1.26426,1420.07
1779334640,1.26426,1.26505,1.26339,1.26379,757.06
1779335540,1.26379,1.26383,1.2626,1.263,531.91
1779336440,1.263,1.2631,1.26297,1.26306,818.38
1779337340,1.26306,1.26334,1.26187,1.2624,960.17
1779338240,1.2624,1.26302,1.26179,1.26214,911.83
1779339140,1.26214,1.26386,1.26152,1.26379,1175.8
1779340040,1.26379,1.264,1.26225,1.26228,1437.02
1779340940,1.26228,1.26256,1.26159,1.2621,1127.88
1779341840,1.2621,1.26248,1.26106,1.26113,846.18
1779342740,1.26113,1.26188,1.26074,1.26185,1091.66
1779343640,1.26185,1.26227,1.26011,1.26041,1284.98
1779344540,1.26041,1.2608,1.2586,1.25926,1122.72
1779345440,1.25926,1.26087,1.25885,1.25981,949.79
1779346340,1.25981,1.26149,1.25903,1.26139,616.53
1779347240,1.26139,1.2622,1.26109,1.26175,776.24
1779348140,1.26175,1.26225,1.26131,1.2617,848.29
1779349040,1.2617,1.2622,1.26076,1.26113,1132.2
1779349940,1.26113,1.26154,1.25914,1.26056,1172.33
1779350840,1.26056,1.26063,1.25929,1.2602,712.36
1779351740,1.2602,1.26067,1.26009,1.26038,1076.42
1779352640,1.26038,1.26057,1.2591,1.25946,976.83
1779353540,1.25946,1.2597,1.25723,1.25771,1573.38
1779354440,1.25771,1.25898,1.25741,1.25836,791.13
1779355340,1.25836,1.25854,1.25726,1.25743,738.63
1779356240,1.25743,1.25948,1.25731,1.25897,940.21
1779357140,1.25897,1.25935,1.25693,1.25719,532.15
